model,image,dice,iou,pix_precision,pix_recall,pix_f1,pixel_accuracy,case_gt,case_pred,TP,TN,FP,FN,threshold,min_component_size,pred_mask_path,overlay_path
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1000_1.png,0.07621207284701367,0.039615631103515625,0.039615631103515625,1.0,0.07621207284362398,0.039615631103515625,1,1,10385,0,251759,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1001_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1002_1.png,0.020135191272912144,0.01016998291015625,0.01016998291015625,1.0,0.02013519126921189,0.01016998291015625,1,1,2666,0,259478,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1003_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1004_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1005_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1006_1.png,0.11228608360026829,0.059482574462890625,0.059482574462890625,1.0,0.11228608359707205,0.059482574462890625,1,1,15593,0,246551,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1007_1.png,0.003016683175885516,0.0015106201171875,0.0015106201171875,1.0,0.0030166831720880626,0.0015106201171875,1,1,396,0,261748,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1008_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1009_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_100_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1010_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1011_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1012_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1013_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1014_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1015_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1016_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1017_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1018_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1019_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_101_1.png,0.024208987175627427,0.0122528076171875,0.0122528076171875,1.0,0.024208987171950136,0.0122528076171875,1,1,3212,0,258932,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1020_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1021_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1022_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1023_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1024_1.png,0.0122535638496654,0.00616455078125,0.00616455078125,1.0,0.012253563845920534,0.00616455078125,1,1,1616,0,260528,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1025_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1026_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1027_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1028_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_1029_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
PTXSegNet_highres,/media/admin1/DL/shubham/FYP_2.0/final_dataset/test/png_images/test_image_102_0.png,3.8146972656104474e-12,0.0,0.0,0.0,0.0,0.0,0,1,0,0,262144,0,0.5,100,,
